question_number,statement,question_a,question_b,question_c,question_d,question_e,source,answer
21,"A leitura é representada, no texto, pela metáfora",“viver longe deles”,“nos tornar brancos”,“pensar coisas da floresta”,“fixar os olhos em peles de papel”,“desenhar na língua dos brancos”,Vestibulinho 1SEM2024,D
22,"Chico Mendes nasceu no seringal Porto Rico, próximo à fronteira do 
Acre com a Bolívia, em Xapuri, estado do Acre. Filho de seringueiro, 
passou infância e juventude ao lado do pai, trabalhando na extração 
de látex.
Diferentemente dos outros seringueiros, Chico aprendeu a ler e a 
escrever com 16 anos. Esse fato teve uma grande influência na sua 
vida. Em 1975, fez parte da diretoria do Sindicato de Trabalhadores 
Rurais de Brasileia, o primeiro criado no Acre. Nessa época, 
a substituição da borracha pela pecuária levou à especulação 
fundiária e ao desmatamento de grandes extensões de terras, 
dificultando a permanência dos seringueiros na floresta.
A convivência de Chico com a floresta e o conhecimento que 
adquiriu sobre como obter da natureza os meios de vida instigaram 
sua curiosidade e deram origem a uma teoria que seria, mais tarde, 
comprovada: a de que os benefícios derivados da manutenção 
da floresta são maiores do que o valor que se obtém com a sua 
derrubada.
Ao mesmo tempo em que conquistava o respeito internacional, 
era ameaçado no Xapuri. Em 22 de dezembro de 1988, em uma 
emboscada nos fundos de sua casa, ele foi assassinado a mando 
de um grileiro de terras com história de violência em vários lugares 
do Brasil.
Segundo o texto,","os habitantes da Amazônia estabelecem relações harmônicas entre si e com a floresta e, por isso, 
não experienciam os principais problemas enfrentados pelas populações urbanas","Chico Mendes se dedicou a refletir sobre a sua relação com a floresta, desconsiderando causas 
sociais, como a questão fundiária","o fato de ter sido alfabetizado tardiamente afetou a compreensão de Chico Mendes, que não soube 
se posicionar sobre as questões sociais e ambientais de seu entorno","as vivências e práticas na floresta proporcionaram a Chico Mendes uma série de saberes os quais o 
levaram a formular uma teoria ambiental, que, mais tarde, foi comprovada por outras pessoas","Chico Mendes passou toda a sua vida isolado na floresta, sem estabelecer contatos com outras 
partes do Brasil e do mundo e, por isso, não foi bem sucedido em sua luta",Vestibulinho 1SEM2024,D
23,"Segundo os pesquisadores do Instituto de Pesquisa Econômica Aplicada (Ipea), existem evidências 
de que alterações ambientais e distúrbios ecológicos, originados de causas naturais ou gerados 
por atividades humanas, em regiões da Floresta Amazônica, exercem uma influência marcante na 
emergência e na proliferação de certas doenças. 
Entre 2004 e 2012, constatou-se que, com o avanço do desmatamento, houve um acréscimo de 
23 % nos casos de malária para cada 1 % de floresta derrubada por ano.
Entre os diversos mecanismos sugeridos para explicar como a derrubada da Floresta Amazônica contribuiria 
para o aumento da incidência da doença citada na pesquisa, é correto afirmar que","a destruição completa do ambiente natural de reprodução dos insetos transmissores, decorrente 
do efeito estufa e da diminuição da camada de ozônio, favoreceria a proliferação das bactérias que 
causam essa doença, levando ao aumento do número de casos","o aumento da migração humana para fazendas, assentamentos e garimpos nas áreas desmatadas, 
junto com a adaptação dos insetos transmissores aos novos habitats, contribuiria para o aumento da 
transmissão dos parasitas causadores dessa doença","o desmatamento teria ocasionado a diminuição das superfícies aquáticas e o aparecimento de várias 
espécies de caramujos, hospedeiros das larvas dos insetos transmissores dessa doença","os insetos transmissores, conhecidos popularmente como barbeiros, e outras várias espécies 
diferentes, após o desmatamento, teriam ficado altamente eficientes para a transmissão dessa 
doença","as condições ambientais nas regiões desmatadas da floresta, tais como temperaturas muito baixas 
e baixos índices pluviométricos, junto com a ausência dos insetos transmissores, teriam aumentado 
a incidência dessa doença",Vestibulinho 1SEM2024,B
24,"Denúncias são importantes formas de detecção das infrações ambientais.
Um exemplo é a Linha Verde, do Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis 
(Ibama), disponibilizada para todo o Brasil. Por meio dela, o cidadão pode informar possíveis infrações 
ambientais através de uma Central de Atendimento.
Suponha que a tabela apresentada registre o número de denúncias recebidas por um atendente sobre o 
desmatamento na Floresta Amazônica.
Dia do mês (D)
Número de denúncias (N)
2
7
3
9
4
11
5
13
6
15
Uma expressão algébrica que relaciona o número de denúncias (N) em função do dia do mês (D) é",N = 2D + 3,N = D + 3,N = 3D + 1,N = D + 2,N = 2D + 1,Vestibulinho 1SEM2024,A
25,"A usina de Belo Monte, no estado do Pará, é uma das maiores hidrelétricas do mundo. Possui capacidade 
instalada de aproximadamente 11 200 MW e fornece cerca de 4 500 MW de potência. Além disso, alaga 
uma região de cerca de 500 km².
Com base apenas nos dados fornecidos para as usinas de Balbina e de Belo Monte, localizadas na região 
Amazônica, é possível avaliar a crítica, presente no texto, à instalação da hidrelétrica de Balbina como","incoerente, dado que 3 000 km² de área alagada não causam um impacto ambiental significativo para 
ser considerado um desastre","coerente, já que são fornecidos apenas dados relativos à área alagada, que não são suficientes para 
analisar o impacto ambiental da usina de Balbina","incoerente, uma vez que a usina de Belo Monte alaga uma região maior e tem potencial energético 
menor do que a usina de Balbina","coerente, visto que a usina de Balbina alaga uma área maior e tem potencial energético menor do 
que a usina de Belo Monte","incoerente, na medida em que o potencial energético de ambas as usinas é similar",Vestibulinho 1SEM2024,D
26,"De acordo com o texto, os “paliteiros” mencionados se formaram",devido à instalação de indústrias madeireiras na Zona Franca de Manaus,pela ação dos garimpeiros ilegais que poluíam as águas do rio Amazonas,"em consequência do aquecimento global, que impacta a flora e a fauna amazônicas",pela ação de madeireiros que atuavam no município de Presidente Figueiredo,em consequência da inundação do reservatório da usina hidrelétrica de Balbina,Vestibulinho 1SEM2024,E
27,"O Fator de Capacidade (η), em uma usina hidrelétrica, expressa a razão entre a capacidade real de 
 
transformação de seu potencial energético (ΔPU) e a capacidade instalada (ΔPT), ou seja, .
ΔPU
=
η
ΔPT
Dessa forma, o fator η de capacidade da usina hidrelétrica de Balbina é de, aproximadamente,","0,08","0,32","0,40","2,50","3,13",Vestibulinho 1SEM2024,B
28,"É possível concluir corretamente que, em exatamente três quintos dos anos apresentados no gráfico, 
o desmatamento registrado ano a ano foi","maior que 5 000 km
2","maior que 6 000 km
2","igual a 4 000 km
2","menor que 2 000 km
2","menor que 3 000 km
2",Vestibulinho 1SEM2024,E
29,"A amplitude total, em um conjunto de dados, é a diferença entre o maior e o menor valor observado 
nesse conjunto.
Analise o conjunto de dados apresentados no gráfico e assinale a alternativa que apresenta a sua 
amplitude total.",9 069,8 061,7 023,3 555,2 283,Vestibulinho 1SEM2024,B
30,"A intensa atividade de desflorestamento altera a composição química da atmosfera amazônica 
devido às emissões de gases e de partículas. Essas emissões são decorrentes das queimadas e 
têm implicações importantes em nível local, regional e global. As queimadas são uma significativa 
fonte global de vários gases, como dióxido de carbono (CO2) e metano (CH4).
Os compostos mencionados são gases",que protegem a Terra da radiação infravermelha,que protegem a Terra da radiação ultravioleta,"do efeito estufa, os quais amenizam a temperatura global","do efeito estufa, os quais destroem a camada de ozônio","do efeito estufa, os quais potencializam o aquecimento global",Vestibulinho 1SEM2024,E
31,"Por estarem localizadas próximas à linha do Equador, as regiões de clima equatorial recebem luz solar 
direta durante todo o ano, o que contribui para elevada umidade do ar e temperaturas altas e relativamente 
estáveis. Nas florestas ocorre a evapotranspiração, processo que combina a liberação de água na 
atmosfera, por meio da transpiração das folhas, com a evaporação da água existente no ambiente.
A evapotranspiração desempenha um papel fundamental como regulador no clima porque, conforme a 
água evapora, ela","contribui na formação de arco-íris por meio da refração dos raios solares, e consequentemente 
aquece o ambiente","produz gás hidrogênio, um gás combustível que pode liberar calor para o ambiente, e 
consequentemente o aquecer","libera átomos de hidrogênio e oxigênio no ambiente, consequentemente o resfriando","consome oxigênio do ambiente, consequentemente o resfriando","absorve calor do ambiente, e consequentemente o resfria",Vestibulinho 1SEM2024,E
32,"Com base no texto, é correto afirmar que os rios voadores",despejam milhões de metros cúbicos de água por segundo no oceano Índico,tornam-se afluentes do rio Amazonas e deságuam nas bacias hidrográficas do sul do Brasil,"são um dos responsáveis pelas chuvas em alguns estados brasileiros e em alguns países fronteiriços 
ao Brasil","derivam de árvores da Mata Tropical Atlântica, encravadas no alto da Cordilheira dos Andes e no 
Chaco paraguaio","nascem no oceano Atlântico e percorrem todo o litoral ocidental brasileiro até atingir as áreas situadas 
no centro-sul do Brasil",Vestibulinho 1SEM2024,C
33,"Segundo o IBGE, no Brasil, mais de 80 % da população vive em áreas urbanas. Isso, entretanto, não 
impede a sociedade de se mobilizar e de realizar ações que possam auxiliar na preservação das florestas 
e das espécies ameaçadas de extinção. 
Embora ninguém consiga promover grandes mudanças sozinho, algumas atitudes podem fazer a diferença 
na preservação do meio ambiente e da biodiversidade, como","evitar comprar de pequenos produtores de hortifrúti que, por produzirem em menor escala, 
aumentam as áreas desmatadas e, consequentemente, o impacto ambiental","comprar móveis e papéis cuja matéria-prima não seja de reflorestamento ou de empresas sem 
certificação de fonte legal e sustentável","aumentar o consumo de itens descartáveis, como guardanapos, papéis, pratos e canudos, evitando 
a reciclagem de produtos usados","aumentar o consumo de carne bovina, pois, na criação extensiva de gado, as florestas são derrubadas 
para dar espaço ao pasto","plantar árvores nativas, com autorização de órgãos responsáveis, para ajudar no reflorestamento de 
áreas urbanas e rurais",Vestibulinho 1SEM2024,E
34,"Além proteger áreas florestais, outra forma de conter o desmatamento – e, consequentemente, 
as mudanças climáticas – é desenvolver atividades econômicas sustentáveis nas florestas, 
de modo a fortalecer as comunidades locais e aproveitar os recursos disponíveis nas 
regiões. Com esse objetivo, o WWF-Brasil criou o Programa de Apoio ao Desenvolvimento 
Sustentável (PADS). Os projetos do PADS ajudam famílias a viver da coleta de castanha-
do-brasil, da produção de óleo de copaíba, do artesanato, do ecoturismo e de outros 
produtos florestais, sem ter que derrubar árvores para retirar madeira ou para abrir 
pastagens. Dessa maneira, assegura-se a conservação da floresta e da biodiversidade. 
Além disso, lidar com o desenvolvimento sustentável na floresta é desenvolver e incentivar 
capacidade adaptativa às futuras mudanças do clima, que se dão gradualmente na medida em 
que o planeta aquece.
Assinale a alternativa que apresenta um projeto cujo objetivo é semelhante ao apresentado no texto.","GASTROMOTIVA: utiliza o alimento como ferramenta de transformação social por meio da educação, 
da inclusão e do combate ao desperdício",CONSERV: remunera produtores locais que preservam vinte mil hectares de floresta e de cerrado,AMPARA: protege animais que foram abandonados e foram vítimas de maus-tratos,MÃE CANGURU: ajuda mães solo em situação de vulnerabilidade social,MORAR PRIMEIRO: dá moradia social para a população de rua,Vestibulinho 1SEM2024,B
